ID Planinfra,Ano de entrada,Registro do ID,Data da ação,Status,AUTORIZAÇÃO,Cidade,Estado,PRIORIDADE EMAER,COMAR,ODS,OM,DESCRIÇÃO,Solicitante,Documento de Solicitação,DOCUMENTO do Caderno de Necessidades,Data do Carderno de Necessidades,VALOR ESTIMATIVA (R$),RESPONSAVEL PROJETO,INÍCIO DO PROJETO/TAP,PRAZO DE PROJETO,PROJETO,VALOR PROJETO  (R$),DOCUMENTO ENTREGA do Projeto,Data de entrega do Projeto,DOCUMENTO CANCELAMENTO,DOCUMENTO SUSPENSÃO,RESPONSÁVEL LICITAÇÃO,Origem do Crédito,DATA DA LICITAÇÃO,Valor Obra (R$),Apostilamentos/Reajustes,1o Valor Aditivo (R$),2o Valor Aditivo (R$),3o Valor Aditivo (R$),4o Valor Aditivo (R$),5o Valor Aditivo (R$),Valor Vigente (R$),RESPONSÁVEL FISCALIZAÇÃO,INÍCIO DA OBRA,PRAZO ORIGINAL DA OBRA,1o ADITIVO DE PRAZO (DIAS),2o ADITIVO DE PRAZO (DIAS),3o ADITIVO DE PRAZO (DIAS),4o ADITIVO DE PRAZO (DIAS),5o ADITIVO DE PRAZO (DIAS),Valor Total Medido,PRAZO DA OBRA,EXECUÇÃO,OBS,PUBLICAR,Data que saiu do PlanINFRA,Setor Responsável,Telefone,RESPONSÁVEL ETPE,DOCUMENTO do ETPE,Data do ETPE,GERENTE DO PROJETO,TELEFONE DO GERENTE,DOCUMENTO de envio do TAP para o cliente,DATA de envio do TAP para o cliente,DOCUMENTO de recebimento do TAP assinado pelo cliente,VALOR ESTIMATIVA TAP (R$),LINK DO GPAER,DOCUMENTO de envio do TMP para o cliente,DATA de envio do TMP para o cliente,DOCUMENTO de recebimento do TMP assinado pelo cliente,DATA de recebimento do TMP assinado pelo cliente,ACRÉSCIMO VALOR TMP,ACRÉSCIMO PRAZO TMP,ESTIMATIVA PROJETO VIGENTE,PRAZO PROJETO VIGENTE,DOCUMENTO de assinatura do TEP pelo cliente,DATA de assinatura do TEP pelo cliente,REGISTRO SISOP,USUÁRIO ÚLTIMO AÇÃO,DOCUMENTO AUTORIZAÇÃO PARA LICITAR,DATA AUTORIZAÇÃO PARA LICITAR,DATA ENVIO DA DNR À UG EXEC,DATA ENVIO À CJU,DATA RETORNO DA CJU,DATA PUBLICAÇÃO EDITAL,DATA ENTREGA PROPOSTAS,VALOR ADJUDICADO,CÓDIGO PTA,INÍCIO PTA,TÉRMINO PTA,TIPO LICITACAO,NUMERO LICITACAO
2017-1001,2017,1001,14/03/2024 09:43:50,OBC,Encerrado,NATAL,RN,,II COMAR,COMPREP,ALA 10,"Hangar do G-LOG - Construção de 3 Hangares pré-moldados, dispostos lado a lado",EMAER,77/2EM,,,,CEPE,,9/19/2017,100,"R$ 19.075.225,26",,8/31/2017,,,GAP-NT,FAB,3/20/2018,"R$ 16.429.570,43",,,,,,,"R$ 16.429.570,43",DTINFRA-RF,3/20/2018,1/19/2020,45,,,,,,1/26/2020,100,Obra concluída em 2020,NÃO,,,,,,,,,,,,,,,,,,,,,19/09/2017,,,,,,,,,,,,,,,,,
2017-1002,2017,1002,06/05/2022 10:07:41,OBC,Encerrado,NATAL,RN,,II COMAR,SEFA,PANT,Construção de 3 blocos PNR Graduados no CHAS (6 andares/8 ap por andar/91 m2 - 144 PNR),EMAER,61/4SC2/13412,,,,CEPE,,8/7/2017,100,"R$ 38.031.771,82",,8/8/2017,,,GAP-NT,PERMUTA,10/1/2018,"R$ 38.031.771,82",,,,,,,"R$ 38.031.771,82",SERINFRA-NT,10/1/2018,10/1/2021,,,,,,,10/1/2021,100,"PERMUTA 3 Tombos: PE.014-000, PE.067-000, PE.068-000, PE.069-000 e PE.070-000
 (OBRA)
- TERP assinado em 11/06/21.
- TERD em trâmite.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1003,2017,1003,08/05/2023 09:31:09,OBC,Encerrado,NATAL,RN,,II COMAR,SEFA,PANT,Infraestrutura para a Construção dos 5 blocos PNR Graduados no CHAS -  COMPREP-2019-1-RN-ED,EMAER,,,,,CEPE,,8/31/2017,100,"R$ 5.301.520,91",,9/11/2017,,,GAP-NT,PERMUTA,4/8/2019,"R$ 5.741.447,06",,"R$ 545.923,74",,,,,"R$ 6.287.370,80",SERINFRA-NT,4/8/2019,10/15/2020,180,330,150,41,,,9/16/2022,100,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1004,2017,1004,04/05/2022 09:01:04,PCN,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BAGL,Adaptação do Portão do Hangar 007,EMAER,96/4EM/3674,,,,CEPE,,8/9/2017,100,"R$ 409.181,00",23/DPC/4583,8/17/2017,163/4SC2/6400,,,,,,,,,,,,"R$ 409.181,00",,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,09/08/2017,,,,,,,,,,,,,,,,,
2018-1005,2018,1005,29/04/2022 09:58:48,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,ALA 2,Adaptação do Portão do Hangar 007,,,,,,SERINFRA-BR,,7/30/2018,100,,,,,,GAP-AN,FAB,5/6/2019,"R$ 11.315.243,55",,"R$ 1.169.829,18",,,,,"R$ 12.485.072,73",GAC INFRA-AN,5/6/2019,10/27/2020,225,,,,,,6/9/2021,100,"VALOR EMPENHADO = R$ 11.466.165,49
 (OBRA)
 - Prazo inicial de execução: 24/06/2020
 - Valor licitado (inicial): R$ 11.315.243,55
 - TA de valor (+326.311,24 / -175.389,30)
 - TA de prazo (135 dias) e valor (+163.234,05 / -112.803,40)
 - TA de prazo de execução (90 dias) e de vigência (105 dias).
- 1º Reajuste financeiro no valor de R$ 320.845,82.
- 2º Reajuste financeiro no valor de R$ 386.326,78.
- TA de prazo de execução e valor (+R$ 80.000,00) em revisão no GAC INFRA-AN..
- TA de supressão em elaboração no GAC INFRA-AN.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1006,2018,1006,22/06/2023 10:24:54,OCN,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,BAAN,Construção do Hangar do KC-390 - COMPREP-2020-5-GO-IN,EMAER,,,,,CEPE,,7/30/2018,100,"R$ 26.119.407,64",,7/27/2018,,,GAP-AN,FAB,1/27/2020,"R$ 20.792.349,59","R$ 1.987.479,15","R$ 625.823,66","R$ 13.833,72","R$ 257.848,63","R$ 243.042,15",,"R$ 20.792.349,59",GAC INFRA-AN,1/27/2020,11/22/2020,629,,,,,,2/10/2023,36,"1º aditivo: SUB-ROGAÇÃO TOTAL DO CONTRATO DA ALA 2 PARA O GACINFRA-AN.
2º aditivo: ACRÉSCIMO DE 4,96% E PRORROGAR EM 90 (NOVENTA) DIAS O PRAZO DE VIGÊNCIA E EXECUÇÃO DO CONTRATO DE DESPESA Nº. 003/GAP-AN - ALA2/2020
3º aditivo: PRORROGAÇÃO DOS PRAZOS DE EXECUÇÃO E VIGÊNCIA DO CONTRATO E ACRÉSCIMO DE 0,09%
4º aditivo: ACRÉSCIMO, SUPRESSÃO E PRORROGAÇÃO DE PRAZO DE VIGÊNCIA E EXECUÇÃO DO CONTRATO.
5º aditivo: Reequilíbrio - ACRÉSCIMO DE 12,55% DO VALOR DO CONTRATO.
6º aditivo: ACRÉSCIMO DE VALOR E DE PRAZO DE 180 DIAS DE EXECUÇÃO E VIGÊNCIA

Emitido o Ofício n° 28/AJUR/483, de 12/06/2023 e Termo de Rescisão Unilateral para a contratada.
",SIM,,Seção de controle de obras,(62) 3329-7978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1007,2018,1007,06/05/2022 10:31:40,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,ALA 2,Reestruturação da iluminação do Pátio de Manobras (Atual e Ampliação),EMAER,,,,,CEPE,,7/30/2018,100,"R$ 6.547.212,08",,7/27/2018,,,GAP-AN,FAB,5/7/2019,"R$ 6.126.098,27",,"R$ 405.989,53",,,,,"R$ 6.532.087,80",GAC INFRA-AN,5/7/2019,2/29/2020,121,,,,,,6/28/2020,100,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1008,2018,1008,,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,ALA 2,Restauração dos 10 Hangaretes existentes na Linha de Vôo para o F-39 e implantação dos sistemas de drenagem e aterramento,,,,,,SERINFRA-BR,,10/31/2018,100,,,,,,GAP-AN,FAB,10/28/2019,"R$ 4.115.401,17",,"R$ 492.918,71",,,,,"4.608.319,88",GAC INFRA-AN,10/28/2019,5/25/2020,195,,,,,,12/6/2020,100,"VALOR EMPENHADO = R$ 4.720.260,38
 (OBRA)
 - Prazo inicial de execução: 25/05/2020
 - Valor licitado (inicial): R$ 4.115.401,17
 - TA de prazo (30 dias) e valor (R$ 314.854,80).
 - TA de prazo (90 dias) e valor (R$ 187.578,77).
 - TA de prazo (75 dias) e valor (R$ 102.425,63).
 - A contratada comunicou a finalização da obra em 18/11/20. TERP assinado em 03/12/20.
 - Apostilamento para reajuste financeiro em andamento (R$ 14.051,05)
 - Mediante Of. 23/GAC INFRA-AN/215, foi determinada a suspensão temporária do contrato por 45 dias a contar do dia 08/03/21.
-TA de prazo (120 dias) de vigência assinado dia 19/03/2021
- TA de supressão de valor (R$ 132.133,21) assinado dia 09/06/2021.
- TERD emitido em 19/06/2021.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1009,2018,1009,23/04/2025 12:31:14,OBI,PlanINFRA,ANÁPOLIS,GO,,VI COMAR,SEFA,PAAN,Construção de 96 PNR Graduados (2 blocos x 6 andares x 8 apt / andar - 91 m2) - COMPREP-2020-6-GO-ED,EMAER,,,,,CEPE,,8/30/2018,100,"R$ 31.939.244,84",,8/10/2018,,,GAP-AN,PERMUTA,2/1/2020,"R$ 48.926.851,38","R$ 0,00","R$ 6.597.343,14","R$ 663.330,91",,,,"R$ 48.926.851,38",GAC INFRA-AN,2/1/2020,3/30/2025,655,210,,,,,3/30/2025,93,">03 SET 2021, 1º Termo aditivo: 615 Dias de Execução e 655 dias de Vigência, sem acréscimo de valores. Valor da obra após 1TA: R$ 32.608.962,12. Valor dos terrenos após 1TA: R$ 37.126.498,98. Torna para a União: R$ 4.517.536,85.
===========================
>24 JAN 2022, 2º Termo aditivo: reequilíbrio, acréscimo e supressão de serviços, devido às adequações exigidas pela Prefeitura de Anápolis e Corpo de Bombeiros, sem acréscimo de prazos. Valor da obra após 2TA: R$ 39.206.305,26. Valor dos terrenos após 2TA: R$ 40.839.148,87. Torna para a União: R$ 1.632.843,61.
===========================
>20 SET 2022, 3º Termo aditivo: acréscimo de serviços de sondagem e prova de carga dinâmica, 210 dias de execução e vigência. Valor da obra após 3TA: R$ 39.869.636,17. Valor dos terrenos após 3TA: R$ 40.839.148,87. Torna para a União: R$ 969.512,60.
===========================
>28 NOV 2023, 4º Termo aditivo revisão 01: acréscimo e supressão de serviços relacionados ao reforço de fundação e melhorias de projeto, mudança de cláusula contratual de equipolencia do contrato e da emissão de habite-se, além de um segundo reequilíbrio econômico-financeiro (segundo reajuste) por meio da aplicação de índices INCC-DI e IPCA. Acréscimo de 360 dias de execução e vigência. Valor da obra após 4TA revisão 01: R$ 48.210.504,58. Valor dos terrenos após 4TA revisão 01: R$ 46.374.118,74. Torna para a empresa: R$ 1.836.385,84.
===========================
>17 SET 2024, 5º Termo aditivo referente à adequação de itens de elétrica, devido ao projeto aprovado na concessionária local. Novo Prazo de execução: 30/03/2025. Prazo de vigência: 30/06/2025. Valor da obra após 5TA: R$ 48.926.851,38. Valor dos terrenos após 5TA: R$ 47.516.154,07. Torna para a empresa: R$ 1.410.697,31.
==========================
>23 ABR 2025, 6º Termo aditivo em andamento, visando acréscimo de prazos de execução e vigência, sem acréscimos financeiros. Novo prazo de execução: 29/06/2025. Prazo de vigência: 10/07/2026. Valor da obra após 6TA: R$ 48.926.851,38. Valor dos terrenos após 6TA: R$ 47.516.154,07. Torna para a empresa: R$ 1.410.697,31.
==========================
>23 ABR 2025: terceiro reajuste em andamento. Valor final da obra após terceiro reajuste: R$ 49.117.541,29. Valor dos terrenos após terceiro reajuste: R$ 47.574.763,91. Torna para a empresa após  terceiro reajuste: R$ 1.542.777,38.
",SIM,,Seção de Controle de Obras,(62) 3329-7978,,,,,,,,,,,,,,,,,,30/08/2018,Não há,01/01/1900,COMPREP-2020-6-GO-ED,jessikajcmrl,,,,,,,,,,,,,
2018-1010,2018,1010,26/03/2024 13:08:00,PRC,Encerrado,ANÁPOLIS,GO,,VI COMAR,SEFA,PAAN,Construção de 48 PNR Oficiais (2 blocos x 6 andares X 4 apt / andar - 108 m2),EMAER,,,,,CEPE,,8/30/2018,100,"R$ 20.734.503,16",115/DT/878,8/10/2018,,,,,,,,,,,,,"R$ 20.734.503,16",,,,,,,,,,,,08/05/24 - Após a entrega do projeto em 2018 foi decido pela alteração do local de implantação dos PNR. Motivo pelo qual este projeto foi inutilizado.,SIM,,,,,,,,,,,,,,,,,,,,,30/08/2018,,,,labregofgl,,,,,,,,,,,,,
